Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 1683,Claim 20686,Low,Low
Truck 22922,Claim 20687,Low,Low
Truck 45495,Claim 20688,Low,Low
Truck 1597,Claim 20689,Low,Low
Truck 42147,Claim 20690,Low,Low
Truck 26042,Claim 20691,Low,Low
Truck 6659,Claim 20692,Low,Low
Truck 29638,Claim 20693,Low,Low
Truck 6416,Claim 20694,Low,Low
Truck 12435,Claim 20695,Low,Low
Truck 47613,Claim 20696,Low,Low
Truck 44339,Claim 20697,Low,Low
Truck 759,Claim 20698,Low,Low
Truck 24601,Claim 20699,Low,Low
Truck 20972,Claim 20700,Low,Low
Truck 24539,Claim 20701,Low,Low
Truck 932,Claim 20702,Low,Low
Truck 37445,Claim 20703,Low,Low
Truck 12143,Claim 20704,Low,Low
Truck 23060,Claim 20705,Low,Low
Truck 39970,Claim 20706,Low,Low
Truck 13711,Claim 20707,Low,Low
Truck 10472,Claim 20708,Low,Low
Truck 41087,Claim 20709,Low,Low
Truck 21110,Claim 20710,Low,Low
Truck 44853,Claim 20711,Low,Low
Truck 36444,Claim 20712,Low,Low
Truck 11,Claim 20713,Low,Low
Truck 18033,Claim 20714,Low,Low
Truck 28862,Claim 20715,Low,Low
Truck 38101,Claim 20716,Low,Low
Truck 19231,Claim 20717,Low,Low
Truck 38871,Claim 20718,Low,Low
Truck 44083,Claim 20719,Low,Low
Truck 46203,Claim 20720,Low,Low
Truck 18855,Claim 20721,Low,Low
Truck 40273,Claim 20722,Low,Low
Truck 38992,Claim 20723,Low,Low
Truck 32519,Claim 20724,Low,Low
Truck 8737,Claim 20725,Low,Low
Truck 4031,Claim 20726,Low,Low
Truck 17405,Claim 20727,Low,Low
Truck 20427,Claim 20728,Low,Low
Truck 37443,Claim 20729,Low,Low
Truck 25511,Claim 20730,Low,Low
Truck 47373,Claim 20731,Low,Low
Truck 29637,Claim 20732,Low,Low
Truck 4571,Claim 20733,Low,Low
Truck 32212,Claim 20734,Low,Low
Truck 44798,Claim 20735,Low,Low
Truck 14448,Claim 20736,Low,Low
Truck 35136,Claim 20737,Low,Low
Truck 12780,Claim 20738,Low,Low
Truck 44465,Claim 20739,Low,Low
Truck 31612,Claim 20740,Low,Low
Truck 38379,Claim 20741,Low,Low
Truck 7545,Claim 20742,Low,Low
Truck 14196,Claim 20743,Low,Low
Truck 36354,Claim 20744,Low,Low
Truck 37018,Claim 20745,Low,Low
Truck 950,Claim 20746,Low,Low
Truck 3877,Claim 20747,Low,Low
Truck 3037,Claim 20748,Low,Low
Truck 47717,Claim 20749,Low,Low
Truck 46614,Claim 20750,Low,Low
Truck 18894,Claim 20751,Low,Low
Truck 39867,Claim 20752,Low,Low
Truck 24187,Claim 20753,Low,Low
Truck 46098,Claim 20754,Low,Low
Truck 8149,Claim 20755,Low,Low
Truck 3012,Claim 20756,Low,Low
Truck 5329,Claim 20757,Low,Low
Truck 27412,Claim 20758,Low,Low
Truck 9769,Claim 20759,Low,Low
Truck 37631,Claim 20760,Low,Low
Truck 19388,Claim 20761,Low,Low
Truck 22193,Claim 20762,Low,Low
Truck 18593,Claim 20763,Low,Low
Truck 7019,Claim 20764,Low,Low
Truck 1603,Claim 20765,Low,Low
Truck 19282,Claim 20766,Low,Low
Truck 44903,Claim 20767,Low,Low
Truck 15685,Claim 20768,Low,Low
Truck 27217,Claim 20769,Low,Low
Truck 30706,Claim 20770,Low,Low
Truck 29520,Claim 20771,Low,Low
Truck 46,Claim 20772,Low,Low
Truck 5791,Claim 20773,Low,Low
Truck 30408,Claim 20774,Low,Low
Truck 4648,Claim 20775,Low,Low
Truck 19304,Claim 20776,Low,Low
Truck 4274,Claim 20777,Low,Low
Truck 19820,Claim 20778,Low,Low
Truck 35296,Claim 20779,Low,Low
Truck 562,Claim 20780,Low,Low
Truck 43011,Claim 20781,Low,Low
Truck 38379,Claim 20782,Low,Low
Truck 47619,Claim 20783,Low,Low
Truck 31573,Claim 20784,Low,Low
Truck 35301,Claim 20785,Low,Low
Truck 43557,Claim 20786,Low,Low
Truck 25579,Claim 20787,Low,Low
Truck 23870,Claim 20788,Low,Low
Truck 29984,Claim 20789,Low,Low
Truck 4122,Claim 20790,Low,Low
Truck 38991,Claim 20791,Low,Low
Truck 26299,Claim 20792,Low,Low
Truck 19291,Claim 20793,Low,Low
Truck 12448,Claim 20794,Low,Low
Truck 15762,Claim 20795,Low,Low
Truck 1386,Claim 20796,Low,Low
Truck 23958,Claim 20797,Low,Low
Truck 905,Claim 20798,Low,Low
Truck 24198,Claim 20799,Low,Low
Truck 18038,Claim 20800,Low,Low
Truck 48181,Claim 20801,Low,Low
Truck 48297,Claim 20802,Low,Low
Truck 9898,Claim 20803,Low,Low
Truck 631,Claim 20804,Low,Low
Truck 5684,Claim 20805,Low,Low
Truck 44518,Claim 20806,Low,Low
Truck 3898,Claim 20807,Low,Low
Truck 8735,Claim 20808,Low,Low
Truck 42928,Claim 20809,Low,Low
Truck 3172,Claim 20810,Low,Low
Truck 29026,Claim 20811,Low,Low
Truck 12321,Claim 20812,Low,Low
Truck 35258,Claim 20813,Low,Low
Truck 14820,Claim 20814,Low,Low
Truck 3973,Claim 20815,Low,Low
Truck 23658,Claim 20816,Low,Low
Truck 3163,Claim 20817,Low,Low
Truck 42942,Claim 20818,Low,Low
Truck 603,Claim 20819,Low,Low
Truck 3916,Claim 20820,Low,Low
Truck 2075,Claim 20821,Low,Low
Truck 24058,Claim 20822,Low,Low
Truck 14551,Claim 20823,Low,Low
Truck 35189,Claim 20824,Low,Low
Truck 11569,Claim 20825,Low,Low
Truck 2937,Claim 20826,Low,Low
Truck 38935,Claim 20827,Low,Low
Truck 12402,Claim 20828,Low,Low
Truck 15886,Claim 20829,Low,Low
Truck 23642,Claim 20830,Low,Low
Truck 27366,Claim 20831,Low,Low
Truck 23960,Claim 20832,Low,Low
Truck 3041,Claim 20833,Low,Low
Truck 9707,Claim 20834,Low,Low
Truck 44468,Claim 20835,Low,Low
Truck 12425,Claim 20836,Low,Low
Truck 33618,Claim 20837,Low,Low
Truck 38876,Claim 20838,Low,Low
Truck 45965,Claim 20839,Low,Low
Truck 501,Claim 20840,Low,Low
Truck 31523,Claim 20841,Low,Low
Truck 43906,Claim 20842,Low,Low
Truck 842,Claim 20843,Low,Low
Truck 12469,Claim 20844,Low,Low
Truck 37724,Claim 20845,Low,Low
Truck 20710,Claim 20846,Low,Low
Truck 23709,Claim 20847,Low,Low
Truck 8235,Claim 20848,Low,Low
Truck 20862,Claim 20849,Low,Low
Truck 10147,Claim 20850,Low,Low
Truck 4621,Claim 20851,Low,Low
Truck 4365,Claim 20852,Low,Low
Truck 14520,Claim 20853,Low,Low
Truck 16208,Claim 20854,Low,Low
Truck 35496,Claim 20855,Low,Low
Truck 19435,Claim 20856,Low,Low
Truck 35201,Claim 20857,Low,Low
Truck 11139,Claim 20858,Low,Low
Truck 14680,Claim 20859,Low,Low
Truck 44669,Claim 20860,Low,Low
Truck 13997,Claim 20861,Low,Low
Truck 11824,Claim 20862,Low,Low
Truck 11504,Claim 20863,Low,Low
Truck 24883,Claim 20864,Low,Low
Truck 38212,Claim 20865,Low,Low
Truck 40557,Claim 20866,Low,Low
Truck 21854,Claim 20867,Low,Low
Truck 19840,Claim 20868,Low,Low
Truck 18478,Claim 20869,Low,Low
Truck 44502,Claim 20870,Low,Low
Truck 14099,Claim 20871,Low,Low
Truck 1951,Claim 20872,Low,Low
Truck 17446,Claim 20873,Low,Low
Truck 32462,Claim 20874,Low,Low
Truck 14517,Claim 20875,Low,Low
Truck 38853,Claim 20876,Low,Low
Truck 12829,Claim 20877,Low,Low
Truck 31081,Claim 20878,Low,Low
Truck 35418,Claim 20879,Low,Low
Truck 8767,Claim 20880,Low,Low
Truck 21609,Claim 20881,Low,Low
Truck 17731,Claim 20882,Low,Low
Truck 8241,Claim 20883,Low,Low
Truck 37667,Claim 20884,Low,Low
Truck 25965,Claim 20885,Low,Low
Truck 36740,Claim 20886,Low,Low
Truck 1345,Claim 20887,Low,Low
Truck 43555,Claim 20888,Low,Low
Truck 37652,Claim 20889,Low,Low
Truck 9179,Claim 20890,Low,Low
Truck 12692,Claim 20891,Low,Low
Truck 47878,Claim 20892,Low,Low
Truck 47305,Claim 20893,Low,Low
Truck 9328,Claim 20894,Low,Low
Truck 41294,Claim 20895,Low,Low
Truck 11003,Claim 20896,Low,Low
Truck 17706,Claim 20897,Low,Low
Truck 26740,Claim 20898,Low,Low
Truck 8125,Claim 20899,Low,Low
Truck 13047,Claim 20900,Low,Low
Truck 44913,Claim 20901,Low,Low
Truck 19673,Claim 20902,Low,Low
Truck 27030,Claim 20903,Low,Low
Truck 48137,Claim 20904,Low,Low
Truck 20412,Claim 20905,Low,Low
Truck 24585,Claim 20906,Low,Low
Truck 31938,Claim 20907,Low,Low
Truck 34004,Claim 20908,Low,Low
Truck 38923,Claim 20909,Low,Low
Truck 23696,Claim 20910,Low,Low
Truck 23707,Claim 20911,Low,Low
Truck 42197,Claim 20912,Low,Low
Truck 26422,Claim 20913,Low,Low
Truck 41457,Claim 20914,Low,Low
Truck 1874,Claim 20915,Low,Low
Truck 21172,Claim 20916,Low,Low
Truck 42631,Claim 20917,Low,Low
Truck 45496,Claim 20918,Low,Low
Truck 26777,Claim 20919,Low,Low
Truck 19199,Claim 20920,Low,Low
Truck 10506,Claim 20921,Low,Low
Truck 29007,Claim 20922,Low,Low
Truck 39761,Claim 20923,Low,Low
Truck 10752,Claim 20924,Low,Low
Truck 331,Claim 20925,Low,Low
Truck 31956,Claim 20926,Low,Low
Truck 23937,Claim 20927,Low,Low
Truck 43298,Claim 20928,Low,Low
Truck 28604,Claim 20929,Low,Low
Truck 14690,Claim 20930,Low,Low
Truck 31864,Claim 20931,Low,Low
Truck 46922,Claim 20932,Low,Low
Truck 29104,Claim 20933,Low,Low
Truck 16773,Claim 20934,Low,Low
Truck 1609,Claim 20935,Low,Low
Truck 38358,Claim 20936,Low,Low
Truck 25501,Claim 20937,Low,Low
Truck 8686,Claim 20938,Low,Low
Truck 11476,Claim 20939,Low,Low
Truck 23943,Claim 20940,Low,Low
Truck 42219,Claim 20941,Low,Low
Truck 21961,Claim 20942,Low,Low
Truck 22637,Claim 20943,Low,Low
Truck 19272,Claim 20944,Low,Low
Truck 47175,Claim 20945,Low,Low
Truck 44913,Claim 20946,Low,Low
Truck 44524,Claim 20947,Low,Low
Truck 37503,Claim 20948,Low,Low
Truck 40580,Claim 20949,Low,Low
Truck 45316,Claim 20950,Low,Low
Truck 3070,Claim 20951,Low,Low
Truck 38300,Claim 20952,Low,Low
Truck 5071,Claim 20953,Low,Low
Truck 13171,Claim 20954,Low,Low
Truck 25701,Claim 20955,Low,Low
Truck 1189,Claim 20956,Low,Low
Truck 732,Claim 20957,Low,Low
Truck 35717,Claim 20958,Low,Low
Truck 890,Claim 20959,Low,Low
Truck 12859,Claim 20960,Low,Low
Truck 27484,Claim 20961,Low,Low
Truck 558,Claim 20962,Low,Low
Truck 47868,Claim 20963,Low,Low
Truck 6245,Claim 20964,Low,Low
Truck 10834,Claim 20965,Low,Low
Truck 35364,Claim 20966,Low,Low
Truck 45801,Claim 20967,Low,Low
Truck 46851,Claim 20968,Low,Low
Truck 1811,Claim 20969,Low,Low
Truck 12724,Claim 20970,Low,Low
Truck 4267,Claim 20971,Low,Low
Truck 24169,Claim 20972,Low,Low
Truck 17651,Claim 20973,Low,Low
Truck 36878,Claim 20974,Low,Low
Truck 13619,Claim 20975,Low,Low
Truck 38366,Claim 20976,Low,Low
Truck 12183,Claim 20977,Low,Low
Truck 7894,Claim 20978,Low,Low
Truck 22534,Claim 20979,Low,Low
Truck 8358,Claim 20980,Low,Low
Truck 642,Claim 20981,Low,Low
Truck 162,Claim 20982,Low,Low
Truck 1644,Claim 20983,Low,Low
Truck 46619,Claim 20984,Low,Low
Truck 26164,Claim 20985,Low,Low
Truck 1593,Claim 20986,Low,Low
Truck 21774,Claim 20987,Low,Low
Truck 14581,Claim 20988,Low,Low
Truck 29261,Claim 20989,Low,Low
Truck 3390,Claim 20990,Low,Low
Truck 37220,Claim 20991,Low,Low
Truck 46939,Claim 20992,Low,Low
Truck 39485,Claim 20993,Low,Low
Truck 11233,Claim 20994,Low,Low
Truck 19142,Claim 20995,Low,Low
Truck 10547,Claim 20996,Low,Low
Truck 41046,Claim 20997,Low,Low
Truck 25287,Claim 20998,Low,Low
Truck 30596,Claim 20999,Low,Low
Truck 38874,Claim 21000,Low,Low
Truck 17664,Claim 21001,Low,Low
Truck 3640,Claim 21002,Low,Low
Truck 31081,Claim 21003,Low,Low
Truck 37075,Claim 21004,Low,Low
Truck 1924,Claim 21005,Low,Low
Truck 10962,Claim 21006,Low,Low
Truck 28091,Claim 21007,Low,Low
Truck 28092,Claim 21008,Low,Low
Truck 2818,Claim 21009,Low,Low
Truck 13619,Claim 21010,Low,Low
Truck 12472,Claim 21011,Low,Low
Truck 2516,Claim 21012,Low,Low
Truck 35745,Claim 21013,Low,Low
Truck 4208,Claim 21014,Low,Low
Truck 13912,Claim 21015,Low,Low
Truck 14692,Claim 21016,Low,Low
Truck 3288,Claim 21017,Low,Low
Truck 10502,Claim 21018,Low,Low
Truck 29515,Claim 21019,Low,Low
Truck 5570,Claim 21020,Low,Low
Truck 1103,Claim 21021,Low,Low
Truck 19442,Claim 21022,Low,Low
Truck 10040,Claim 21023,Low,Low
Truck 27357,Claim 21024,Low,Low
Truck 4722,Claim 21025,Low,Low
Truck 33419,Claim 21026,Low,Low
Truck 20621,Claim 21027,Low,Low
Truck 1855,Claim 21028,Low,Low
Truck 806,Claim 21029,Low,Low
Truck 1610,Claim 21030,Low,Low
Truck 47612,Claim 21031,Low,Low
Truck 24366,Claim 21032,Low,Low
Truck 18623,Claim 21033,Low,Low
Truck 17100,Claim 21034,Low,Low
Truck 34939,Claim 21035,Low,Low
Truck 27365,Claim 21036,Low,Low
Truck 2364,Claim 21037,Low,Low
Truck 5703,Claim 21038,Low,Low
Truck 4515,Claim 21039,Low,Low
Truck 26832,Claim 21040,Low,Low
Truck 21151,Claim 21041,Low,Low
Truck 30773,Claim 21042,Low,Low
Truck 1771,Claim 21043,Low,Low
Truck 35879,Claim 21044,Low,Low
Truck 23880,Claim 21045,Low,Low
Truck 2365,Claim 21046,Low,Low
Truck 23644,Claim 21047,Low,Low
Truck 17999,Claim 21048,Low,Low
Truck 9280,Claim 21049,Low,Low
Truck 31513,Claim 21050,Low,Low
Truck 10974,Claim 21051,Low,Low
Truck 17348,Claim 21052,Low,Low
Truck 25688,Claim 21053,Low,Low
Truck 46638,Claim 21054,Low,Low
Truck 32004,Claim 21055,Low,Low
Truck 15080,Claim 21056,Low,Low
Truck 19263,Claim 21057,Low,Low
Truck 13706,Claim 21058,Low,Low
Truck 24363,Claim 21059,Low,Low
Truck 33723,Claim 21060,Low,Low
Truck 26500,Claim 21061,Low,Low
Truck 24193,Claim 21062,Low,Low
Truck 13723,Claim 21063,Low,Low
Truck 31169,Claim 21064,Low,Low
Truck 35101,Claim 21065,Low,Low
Truck 41929,Claim 21066,Low,Low
Truck 41433,Claim 21067,Low,Low
Truck 36193,Claim 21068,Low,Low
Truck 19006,Claim 21069,Low,Low
Truck 37006,Claim 21070,Low,Low
Truck 49,Claim 21071,Low,Low
Truck 42997,Claim 21072,Low,Low
Truck 925,Claim 21073,Low,Low
Truck 22388,Claim 21074,Low,Low
Truck 8728,Claim 21075,Low,Low
Truck 450,Claim 21076,Low,Low
Truck 42888,Claim 21077,Low,Low
Truck 31669,Claim 21078,Low,Low
Truck 38947,Claim 21079,Low,Low
Truck 9137,Claim 21080,Low,Low
Truck 41549,Claim 21081,Low,Low
Truck 11139,Claim 21082,Low,Low
Truck 35970,Claim 21083,Low,Low
Truck 17758,Claim 21084,Low,Low
Truck 48184,Claim 21085,Low,Low
Truck 24368,Claim 21086,Low,Low
Truck 2609,Claim 21087,Low,Low
Truck 6713,Claim 21088,Low,Low
Truck 27679,Claim 21089,Low,Low
Truck 2157,Claim 21090,Low,Low
Truck 2673,Claim 21091,Low,Low
Truck 42656,Claim 21092,Low,Low
Truck 33156,Claim 21093,Low,Low
Truck 33157,Claim 21094,Low,Low
Truck 32390,Claim 21095,Low,Low
Truck 25720,Claim 21096,Low,Low
Truck 46186,Claim 21097,Low,Low
Truck 18946,Claim 21098,Low,Low
Truck 4560,Claim 21099,Low,Low
Truck 8384,Claim 21100,Low,Low
Truck 7669,Claim 21101,Low,Low
Truck 44253,Claim 21102,Low,Low
Truck 4089,Claim 21103,Low,Low
Truck 37066,Claim 21104,Low,Low
Truck 43557,Claim 21105,Low,Low
Truck 3068,Claim 21106,Low,Low
Truck 35694,Claim 21107,Low,Low
Truck 37093,Claim 21108,Low,Low
Truck 45792,Claim 21109,Low,Low
Truck 33995,Claim 21110,Low,Low
Truck 31423,Claim 21111,Low,Low
Truck 21725,Claim 21112,Low,Low
Truck 42246,Claim 21113,Low,Low
Truck 31576,Claim 21114,Low,Low
Truck 13810,Claim 21115,Low,Low
Truck 23795,Claim 21116,Low,Low
Truck 47530,Claim 21117,Low,Low
Truck 10289,Claim 21118,Low,Low
Truck 7082,Claim 21119,Low,Low
Truck 44402,Claim 21120,Low,Low
Truck 38095,Claim 21121,Low,Low
Truck 39511,Claim 21122,Low,Low
Truck 27433,Claim 21123,Low,Low
Truck 10416,Claim 21124,Low,Low
Truck 20095,Claim 21125,Low,Low
Truck 35099,Claim 21126,Low,Low
Truck 4996,Claim 21127,Low,Low
Truck 384,Claim 21128,Low,Low
Truck 20638,Claim 21129,Low,Low
Truck 17291,Claim 21130,Low,Low
Truck 13813,Claim 21131,Low,Low
Truck 40146,Claim 21132,Low,Low
Truck 3347,Claim 21133,Low,Low
Truck 45351,Claim 21134,Low,Low
Truck 43101,Claim 21135,Low,Low
Truck 43159,Claim 21136,Low,Low
Truck 1931,Claim 21137,Low,Low
Truck 25279,Claim 21138,Low,Low
Truck 20468,Claim 21139,Low,Low
Truck 14448,Claim 21140,Low,Low
Truck 43743,Claim 21141,Low,Low
Truck 1593,Claim 21142,Low,Low
Truck 890,Claim 21143,Low,Low
Truck 12692,Claim 21144,Low,Low
Truck 19294,Claim 21145,Low,Low
Truck 44595,Claim 21146,Low,Low
Truck 598,Claim 21147,Low,Low
Truck 27394,Claim 21148,Low,Low
Truck 16639,Claim 21149,Low,Low
Truck 6850,Claim 21150,Low,Low
Truck 12505,Claim 21151,Low,Low
Truck 42976,Claim 21152,Low,Low
Truck 24535,Claim 21153,Low,Low
Truck 14713,Claim 21154,Low,Low
Truck 15378,Claim 21155,Low,Low
Truck 27857,Claim 21156,Low,Low
Truck 22465,Claim 21157,Low,Low
Truck 27169,Claim 21158,Low,Low
Truck 29444,Claim 21159,Low,Low
Truck 39367,Claim 21160,Low,Low
Truck 875,Claim 21161,Low,Low
Truck 35007,Claim 21162,Low,Low
Truck 35480,Claim 21163,Low,Low
Truck 37586,Claim 21164,Low,Low
Truck 37658,Claim 21165,Low,Low
Truck 43149,Claim 21166,Low,Low
Truck 30066,Claim 21167,Low,Low
Truck 8213,Claim 21168,Low,Low
Truck 32762,Claim 21169,Low,Low
Truck 26857,Claim 21170,Low,Low
Truck 10746,Claim 21171,Low,Low
Truck 36705,Claim 21172,Low,Low
Truck 43330,Claim 21173,Low,Low
Truck 1737,Claim 21174,Low,Low
Truck 23874,Claim 21175,Low,Low
Truck 13291,Claim 21176,Low,Low
Truck 708,Claim 21177,Low,Low
Truck 14682,Claim 21178,Low,Low
Truck 3222,Claim 21179,Low,Low
Truck 32002,Claim 21180,Low,Low
Truck 11338,Claim 21181,Low,Low
Truck 41325,Claim 21182,Low,Low
Truck 37444,Claim 21183,Low,Low
Truck 1579,Claim 21184,Low,Low
Truck 46492,Claim 21185,Low,Low
Truck 20390,Claim 21186,Low,Low
Truck 34471,Claim 21187,Low,Low
Truck 2913,Claim 21188,Low,Low
Truck 24125,Claim 21189,Low,Low
Truck 21998,Claim 21190,Low,Low
Truck 1579,Claim 21191,Low,Low
Truck 28703,Claim 21192,Low,Low
Truck 3838,Claim 21193,Low,Low
Truck 8729,Claim 21194,Low,Low
Truck 16903,Claim 21195,Low,Low
Truck 2549,Claim 21196,Low,Low
Truck 12459,Claim 21197,Low,Low
Truck 12445,Claim 21198,Low,Low
Truck 1015,Claim 21199,Low,Low
Truck 1075,Claim 21200,Low,Low
Truck 15944,Claim 21201,Low,Low
Truck 16077,Claim 21202,Low,Low
Truck 20656,Claim 21203,Low,Low
Truck 45743,Claim 21204,Low,Low
Truck 24526,Claim 21205,Low,Low
Truck 18526,Claim 21206,Low,Low
Truck 18686,Claim 21207,Low,Low
Truck 7708,Claim 21208,Low,Low
Truck 21416,Claim 21209,Low,Low
Truck 11490,Claim 21210,Low,Low
Truck 11478,Claim 21211,Low,Low
Truck 33271,Claim 21212,Low,Low
Truck 9002,Claim 21213,Low,Low
Truck 15215,Claim 21214,Low,Low
Truck 8235,Claim 21215,Low,Low
Truck 874,Claim 21216,Low,Low
Truck 142,Claim 21217,Low,Low
Truck 8048,Claim 21218,Low,Low
Truck 26592,Claim 21219,Low,Low
Truck 2367,Claim 21220,Low,Low
Truck 29085,Claim 21221,Low,Low
Truck 10137,Claim 21222,Low,Low
Truck 6652,Claim 21223,Low,Low
Truck 6655,Claim 21224,Low,Low
Truck 1173,Claim 21225,Low,Low
Truck 18957,Claim 21226,Low,Low
Truck 43694,Claim 21227,Low,Low
Truck 891,Claim 21228,Low,Low
Truck 15005,Claim 21229,Low,Low
Truck 41082,Claim 21230,Low,Low
Truck 27437,Claim 21231,Low,Low
Truck 9940,Claim 21232,Low,Low
Truck 23060,Claim 21233,Low,Low
Truck 115,Claim 21234,Low,Low
Truck 450,Claim 21235,Low,Low
Truck 8251,Claim 21236,Low,Low
Truck 19069,Claim 21237,Low,Low
Truck 9367,Claim 21238,Low,Low
Truck 6313,Claim 21239,Low,Low
Truck 7733,Claim 21240,Low,Low
Truck 40262,Claim 21241,Low,Low
Truck 4211,Claim 21242,Low,Low
Truck 2938,Claim 21243,Low,Low
Truck 10737,Claim 21244,Low,Low
Truck 22845,Claim 21245,Low,Low
Truck 39300,Claim 21246,Low,Low
Truck 27035,Claim 21247,Low,Low
Truck 47805,Claim 21248,Low,Low
Truck 24138,Claim 21249,Low,Low
Truck 21199,Claim 21250,Low,Low
Truck 16905,Claim 21251,Low,Low
Truck 40000,Claim 21252,Low,Low
Truck 31660,Claim 21253,Low,Low
Truck 1628,Claim 21254,Low,Low
Truck 6360,Claim 21255,Low,Low
Truck 3166,Claim 21256,Low,Low
Truck 41510,Claim 21257,Low,Low
Truck 27561,Claim 21258,Low,Low
Truck 45944,Claim 21259,Low,Low
Truck 36622,Claim 21260,Low,Low
Truck 907,Claim 21261,Low,Low
Truck 23234,Claim 21262,Low,Low
Truck 1981,Claim 21263,Low,Low
Truck 10642,Claim 21264,Low,Low
Truck 11657,Claim 21265,Low,Low
Truck 24237,Claim 21266,Low,Low
Truck 19373,Claim 21267,Low,Low
Truck 6713,Claim 21268,Low,Low
Truck 46280,Claim 21269,Low,Low
Truck 13153,Claim 21270,Low,Low
Truck 945,Claim 21271,Low,Low
Truck 44342,Claim 21272,Low,Low
Truck 14860,Claim 21273,Low,Low
Truck 33509,Claim 21274,Low,Low
Truck 10843,Claim 21275,Low,Low
Truck 17744,Claim 21276,Low,Low
Truck 8038,Claim 21277,Low,Low
Truck 43755,Claim 21278,Low,Low
Truck 38668,Claim 21279,Low,Low
Truck 1352,Claim 21280,Low,Low
Truck 31093,Claim 21281,Low,Low
Truck 17362,Claim 21282,Low,Low
Truck 47688,Claim 21283,Low,Low
Truck 14716,Claim 21284,Low,Low
Truck 26466,Claim 21285,Low,Low
Truck 44919,Claim 21286,Low,Low
Truck 9786,Claim 21287,Low,Low
Truck 949,Claim 21288,Low,Low
Truck 3351,Claim 21289,Low,Low
Truck 19644,Claim 21290,Low,Low
Truck 18568,Claim 21291,Low,Low
Truck 7766,Claim 21292,Low,Low
Truck 41075,Claim 21293,Low,Low
Truck 18647,Claim 21294,Low,Low
Truck 46354,Claim 21295,Low,Low
Truck 17309,Claim 21296,Low,Low
Truck 14464,Claim 21297,Low,Low
Truck 33997,Claim 21298,Low,Low
Truck 1614,Claim 21299,Low,Low
Truck 19005,Claim 21300,Low,Low
Truck 31435,Claim 21301,Low,Low
Truck 147,Claim 21302,Low,Low
Truck 15756,Claim 21303,Low,Low
Truck 28952,Claim 21304,Low,Low
Truck 36053,Claim 21305,Low,Low
Truck 9507,Claim 21306,Low,Low
Truck 35605,Claim 21307,Low,Low
Truck 39370,Claim 21308,Low,Low
Truck 31977,Claim 21309,Low,Low
Truck 13613,Claim 21310,Low,Low
Truck 44497,Claim 21311,Low,Low
Truck 2996,Claim 21312,Low,Low
Truck 45874,Claim 21313,Low,Low
Truck 26030,Claim 21314,Low,Low
Truck 48065,Claim 21315,Low,Low
Truck 445,Claim 21316,Low,Low
Truck 4928,Claim 21317,Low,Low
Truck 16905,Claim 21318,Low,Low
Truck 27556,Claim 21319,Low,Low
Truck 8372,Claim 21320,Low,Low
Truck 40949,Claim 21321,Low,Low
Truck 375,Claim 21322,Low,Low
Truck 7394,Claim 21323,Low,Low
Truck 1975,Claim 21324,Low,Low
Truck 6963,Claim 21325,Low,Low
Truck 27465,Claim 21326,Low,Low
Truck 44518,Claim 21327,Low,Low
Truck 4200,Claim 21328,Low,Low
Truck 20638,Claim 21329,Low,Low
Truck 34676,Claim 21330,Low,Low
Truck 6604,Claim 21331,Low,Low
Truck 21844,Claim 21332,Low,Low
Truck 327,Claim 21333,Low,Low
Truck 26933,Claim 21334,Low,Low
Truck 6405,Claim 21335,Low,Low
Truck 450,Claim 21336,Low,Low
Truck 32086,Claim 21337,Low,Low
Truck 34948,Claim 21338,Low,Low
Truck 23052,Claim 21339,Low,Low
Truck 381,Claim 21340,Low,Low
Truck 9280,Claim 21341,Low,Low
Truck 31661,Claim 21342,Low,Low
Truck 731,Claim 21343,Low,Low
Truck 22558,Claim 21344,Low,Low
Truck 29014,Claim 21345,Low,Low
Truck 284,Claim 21346,Low,Low
Truck 23713,Claim 21347,Low,Low
Truck 4811,Claim 21348,Low,Low
Truck 24213,Claim 21349,Low,Low
Truck 6623,Claim 21350,Low,Low
Truck 10672,Claim 21351,Low,Low
Truck 7084,Claim 21352,Low,Low
Truck 38516,Claim 21353,Low,Low
Truck 25128,Claim 21354,Low,Low
Truck 10895,Claim 21355,Low,Low
Truck 31864,Claim 21356,Low,Low
Truck 20468,Claim 21357,Low,Low
Truck 25100,Claim 21358,Low,Low
Truck 28145,Claim 21359,Low,Low
Truck 15000,Claim 21360,Low,Low
Truck 16192,Claim 21361,Low,Low
Truck 6133,Claim 21362,Low,Low
Truck 41533,Claim 21363,Low,Low
